random id,age,gender,race,rank,years,employed,base_salary,bonus_comp,Total_Salary,region,areatype,major_procedures,satisfied_position,satisfied_salary
168,1,1,2,5,1,1,120000,12000,132000,5,1,0,52,49
116,1,2,1,4,1,2,264000,30000,294000,2,1,0,37,60
128,1,1,2,4,1,2,260000,12000,272000,1,2,0,42,10
323,1,2,1,4,2,2,230000,30000,260000,5,1,0,88,49
213,1,2,1,4,1,2,290000,0,290000,1,2,0,62,27
81,1,1,1,4,1,2,260000,Nil,260000,3,1,0,77,76
158,1,1,1,5,1,2,226000,0,226000,1,2,0,100,86
180,1,1,2,4,1,2,240000,5000,245000,1,2,0,74,28
200,1,1,1,5,1,2,226000,20000,246000,1,2,0,84,85
184,1,1,1,4,1,2,220000,20000,240000,1,2,0,90,82
124,1,1,2,4,2,2,180000,1000,181000,6,1,0,73,57
244,1,2,2,4,1,2,150000,Nil,150000,5,1,0,76,25
299,1,1,2,5,1,2,238000,15000,253000,5,1,0,85,69
30,1,1,1,5,1,2,142000,0,142000,6,1,0,86,51
78,1,2,1,4,1,2,210000,5000,215000,5,1,0,85,96
167,1,1,2,4,1,2,175000,10000,185000,1,2,1,86,32
102,1,2,1,5,1,2,110000,Nil,110000,1,2,0,67,50
66,1,1,1,5,1,2,92250,10000,102250,1,1,0,50,0
107,1,1,1,4,1,2,225000,Nil,225000,1,2,1,71,69
288,1,2,2,4,1,2,225000,0,225000,1,1,0,100,72
281,1,2,1,4,1,2,200000,0,200000,1,2,0,29,62
291,1,2,2,5,1,2,125000,0,125000,6,2,1,73,28
181,1,1,1,4,1,2,223000,230000,453000,1,1,0,48,50
80,1,2,1,5,1,2,230000,Nil,230000,1,2,1,97,99
318,1,2,1,4,1,2,230000,Nil,230000,2,1,1,37,52
293,1,2,1,4,1,2,275000,Nil,275000,2,1,1,51,68
211,1,1,1,4,1,2,200000,Nil,200000,1,2,0,100,76
155,1,1,2,4,1,2,220000,50000,270000,4,1,1,78,70
137,1,1,1,5,1,2,280000,0,280000,5,1,1,78,32
282,1,1,1,4,1,2,220000,0,220000,1,1,0,90,74
196,1,1,2,4,1,2,280000,0,280000,2,1,1,Nil,Nil
39,1,1,2,4,1,2,180000,40000,220000,5,1,0,91,85
104,1,1,2,4,1,2,160000,0,160000,5,1,0,75,50
15,1,1,1,4,1,2,250000,75000,325000,5,1,0,73,75
324,1,1,1,5,1,2,220000,Nil,220000,5,1,0,82,38
257,1,2,2,4,1,2,275000,0,275000,5,2,1,71,54
31,1,1,1,4,1,2,270000,0,270000,5,1,1,94,35
4,1,2,1,4,1,2,190000,15000,205000,2,1,1,21,6
223,1,2,2,4,1,2,227000,11500,238500,5,1,1,75,40
76,1,1,1,4,1,2,300000,25000,325000,1,2,0,85,72
231,1,1,2,4,1,2,280000,50000,330000,1,2,1,93,95
258,1,2,1,4,1,2,500000,0,500000,1,2,0,83,97
59,1,1,2,4,1,2,280000,30000,310000,5,1,1,73,54
311,1,1,2,4,1,2,250000,25000,275000,1,1,1,51,15
290,1,1,2,4,1,2,271000,Nil,271000,3,1,1,76,71
187,1,2,2,4,1,2,224000,20000,244000,4,1,0,87,84
61,1,1,2,4,1,2,220000,Nil,220000,6,1,0,17,51
48,1,1,2,5,1,2,190000,0,190000,3,1,0,64,53
245,1,2,2,4,1,2,205000,Nil,205000,6,2,1,80,25
79,1,1,2,4,1,2,300000,Nil,300000,2,2,1,83,79
36,1,2,1,2,1,2,180000,25000,205000,6,1,1,84,73
143,1,2,2,4,1,2,172000,30000,202000,3,1,0,77,30
26,1,2,1,4,1,2,182500,Nil,182500,5,1,0,100,69
132,1,2,2,4,1,2,200000,Nil,200000,7,2,Nil,Nil,Nil
240,2,2,1,4,2,1,250000,12000,262000,5,2,0,51,100
272,2,2,2,4,1,2,300000,0,300000,1,2,0,16,17
284,2,2,2,4,2,2,265000,Nil,265000,2,1,0,84,84
135,2,2,1,4,2,2,165000,7000,172000,1,2,0,94,72
10,2,1,1,4,1,2,172000,0,172000,1,2,0,84,80
106,2,1,1,4,1,2,175000,12000,187000,1,2,0,86,83
217,2,2,1,4,2,2,180000,0,180000,1,1,0,50,39
29,2,1,2,4,1,2,205000,0,205000,4,1,0,83,43
199,2,2,2,4,1,2,186000,20000,206000,2,2,1,77,72
33,2,1,1,5,1,2,200000,0,200000,1,2,1,83,82
202,2,1,1,4,2,2,191000,12000,203000,3,1,0,84,92
209,2,2,1,4,1,2,185000,Nil,185000,5,1,0,81,66
120,2,1,1,4,1,2,175000,600,175600,1,2,0,69,54
176,2,1,2,4,2,2,204695,Nil,204695,4,1,0,83,81
248,2,1,1,5,1,2,118000,0,118000,5,2,0,71,20
11,2,2,2,5,1,2,177000,0,177000,5,1,0,75,50
246,2,2,1,4,1,2,135000,10000,145000,5,1,0,37,25
183,2,2,1,4,1,2,190000,12000,202000,1,2,0,83,86
277,2,2,1,4,1,2,250000,0,250000,1,2,1,86,87
123,2,1,2,4,1,2,35000,115000,150000,1,2,0,77,67
285,2,1,1,4,2,2,242000,22000,264000,1,2,1,75,63
118,2,1,2,4,1,2,300000,0,300000,1,2,0,31,14
276,2,1,1,4,1,2,185000,Nil,185000,5,2,0,61,45
13,2,2,1,4,1,2,167000,0,167000,5,1,0,81,53
144,2,1,2,4,2,2,226009,Nil,226009,6,2,0,80,65
238,2,1,1,6,1,2,260000,45000,305000,2,1,0,78,68
49,2,1,2,4,1,2,270000,50000,320000,2,1,1,20,49
307,2,1,1,4,2,2,225000,20000,245000,1,2,1,76,0
178,2,1,2,4,1,2,295000,0,295000,1,2,1,72,81
157,2,1,2,4,2,2,300000,5000,305000,5,2,1,62,71
221,2,1,1,4,1,2,360000,62000,422000,1,1,1,Nil,Nil
283,2,1,1,2,2,2,495000,0,495000,6,1,1,84,85
112,2,1,1,4,1,2,75000,141000,216000,6,1,1,24,38
310,2,1,1,4,1,1,200000,Nil,200000,1,2,0,51,19
97,2,1,2,4,2,2,340000,60000,400000,1,1,0,87,82
305,2,1,2,4,1,2,230000,55000,285000,1,1,1,7,7
306,2,2,1,4,2,2,210000,20000,230000,5,1,0,77,66
149,2,1,2,4,1,2,230000,0,230000,2,1,0,13,38
194,2,1,2,4,1,2,305000,0,305000,5,1,0,90,91
18,2,1,1,5,2,2,205000,20000,225000,5,1,0,50,73
314,2,1,3,4,1,2,187000,0,187000,1,1,0,81,64
6,2,1,2,4,2,2,340000,35000,375000,5,1,1,70,23
179,2,1,2,4,1,2,301000,50000,351000,2,1,1,55,37
233,2,2,1,4,2,2,190000,12000,202000,1,2,0,75,73
255,2,1,1,4,1,2,201000,25000,226000,5,2,1,96,84
96,2,1,2,3,2,2,325000,0,325000,6,2,1,89,69
115,2,1,2,4,1,2,240000,50000,290000,2,1,1,100,80
42,2,1,1,4,1,2,275000,186000,461000,6,1,1,92,92
320,2,1,2,4,1,2,200000,110000,310000,3,1,1,58,32
322,2,1,2,4,1,2,200000,110000,310000,3,1,1,59,36
267,2,1,2,4,1,2,150000,25000,175000,5,1,0,72,53
150,2,2,1,4,1,2,227000,Nil,227000,1,2,0,19,74
84,2,1,2,3,2,2,165000,60000,225000,5,2,0,91,75
296,2,1,1,4,1,2,312000,50000,362000,1,1,1,22,12
40,2,1,2,4,1,2,269000,25000,294000,1,2,1,75,28
242,2,1,1,3,2,2,618000,0,618000,1,2,1,97,99
93,2,1,1,5,1,2,230000,Nil,230000,5,1,0,74,57
243,2,1,1,4,1,2,265000,31800,296800,5,1,0,58,26
50,2,1,2,4,1,2,252000,3000,255000,5,1,0,87,52
254,2,2,1,1,1,2,300000,Nil,300000,5,1,1,4,80
86,2,2,2,4,1,2,250000,Nil,250000,5,1,0,89,76
129,2,1,1,4,1,2,350000,0,350000,5,1,1,54,51
16,2,1,2,4,2,2,330000,0,330000,1,1,1,78,24
197,2,1,1,4,1,2,275000,350000,625000,2,2,0,78,79
308,2,1,1,4,2,2,300000,150000,450000,1,1,1,87,100
125,2,1,2,1,2,2,215000,15000,230000,6,2,0,51,100
85,2,1,2,4,1,2,200000,10000,210000,1,2,0,70,74
241,2,2,3,3,1,2,395000,20000,415000,1,1,1,51,25
298,2,1,2,3,1,1,200000,100000,300000,5,2,1,98,63
111,2,2,1,4,1,2,192000,0,192000,5,1,1,88,77
301,2,1,2,5,2,2,180000,20000,200000,5,1,0,65,68
214,2,1,1,4,2,2,193000,Nil,193000,1,2,0,91,100
261,2,2,1,4,1,2,180000,Nil,180000,1,2,0,82,84
295,2,2,2,4,1,2,347000,0,347000,1,2,1,89,92
162,2,1,2,3,2,2,310000,0,310000,1,2,1,69,10
289,2,2,1,4,1,2,270000,Nil,270000,1,2,1,87,38
110,2,1,1,4,1,2,200000,335000,535000,5,1,1,90,84
83,2,1,1,4,1,2,347000,0,347000,2,2,1,13,22
191,2,1,1,3,2,2,510000,0,510000,2,1,1,100,100
91,2,1,1,4,1,2,525000,0,525000,1,2,1,81,50
46,2,1,1,4,1,2,270000,20000,290000,1,2,1,61,33
268,2,2,2,4,1,2,204000,Nil,204000,2,1,1,38,0
73,2,1,1,4,1,2,250000,0,250000,5,1,Nil,Nil,Nil
205,2,1,1,4,2,2,86000,0,86000,7,1,Nil,Nil,Nil
34,3,1,1,3,3,2,300000,110000,410000,1,2,1,100,87
45,3,1,2,1,2,2,200000,0,200000,1,2,1,80,79
35,3,1,1,3,3,2,400000,14000,414000,6,1,0,86,87
12,3,1,1,4,3,2,256000,25000,281000,1,2,0,70,65
89,3,1,1,3,2,2,250000,110000,360000,1,1,1,93,65
117,3,1,2,3,2,2,390000,0,390000,1,2,1,64,100
326,3,2,1,3,3,2,225000,0,225000,5,1,0,87,85
98,3,2,1,3,3,2,193000,12000,205000,5,1,0,76,35
263,3,1,2,3,4,2,300000,0,300000,5,2,0,89,79
